SITE_ID,CatAreaSqKm,WsAreaSqKm,CatAreaSqKmRp100,WsAreaSqKmRp100,HydrlCondWs,OMHWs,DamDensWs,DamNIDStorWs,DamNrmStorWs,NABD_DensWs,NABD_NIDStorWs,NABD_NrmStorWs,MineDensWs,MineDensWsRp100,AgKffactWs,FertWs,ManureWs,NPDESDensWs,NPDESDensWsRp100,SuperfundDensWs,HUDen2010Ws,HUDen2010WsRp100,PopDen2010Ws,PopDen2010WsRp100,PctOw2013Ws,PctIce2013Ws,PctUrbOp2013Ws,PctUrbLo2013Ws,PctUrbMd2013Ws,PctUrbHi2013Ws,PctDecid2013Ws,PctConif2013Ws,PctMxFst2013Ws,PctShrb2013Ws,PctGrs2013Ws,PctHay2013Ws,PctCrop2013Ws,PctWdWet2013Ws,PctHbWet2013Ws,PctOw2013_WsRp100,PctIce2013_WsRp100,PctUrbOp2013_WsRp100,PctUrbLo2013_WsRp100,PctUrbMd2013_WsRp100,PctUrbHi2013_WsRp100,PctDecid2013_WsRp100,PctConif2013_WsRp100,PctMxFst2013_WsRp100,PctShrb2013_WsRp100,PctGrs2013_WsRp100,PctHay2013_WsRp100,PctCrop2013_WsRp100,PctWdWet2013_WsRp100,PctHbWet2013_WsRp100,PctFrstLoss2013Ws,PctFrstLoss2013WsRp100,PctImp2013Ws,PctImp2013_RipBuf100WsRp100,PctNOT_PRINCIPLEWs,PctSANDSTONEWs,PctSEMICONSOL_SANDWs,PctVOLCANICWs,PctSANDSTONE_CARBONATEWs,PctUNCONSOL_SAND_GRAVELWs,PctCARBONATEWs,ClayWs,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs
IDRM-1011,3.5595,58933.6056,0.2277,9429.3126,14.77099638,1.03035726,0.002884602,136973.4452,132411.3157,0.002273745,137193.9468,132240.9299,0.000356333,0.000530261,0.015005159,1.152540291,0.023900621,0.000186651,0.000636314,0.000186651,3.18052361,2.844632292,6.233705936,5.694818944,2.398202835,0.04070445,0.695492658,0.470730914,0.219745082,0.039333076,0.125824306,57.81983429,0.104867332,14.8761005,13.97312114,2.429512305,1.533264579,0.813061232,0.684188751,0.540669317,0.016894127,1.038883789,0.608723058,0.232470817,0.028309593,0.149517792,61.37021483,0.099169477,12.82086671,12.85616303,3.762894657,1.374656939,2.528974381,2.17546717,0.283110796,0.195303738,0.441687649,0.554793134,78.5689498,1.563978465,0,0.173228329,0,17.02451937,0,14.22247063,6.114659307,43.80136009,0,12.78148439,0,0,0,2.588449637,3.671605832,17.11339141,0.192586384,0,0,0,0,9.426441405,0,1.658927008
IDRM-1013,1.7442,4616.6346,0.342,851.8167,15.7307339,1.755286276,0.002382688,35654.32102,32107.48476,0.002382688,32107.48476,32107.48476,0.000216608,0,0.001326265,0.081224947,0.003851962,0.000433216,0.001173961,0.000216608,0.300096229,0.295737005,0.286531795,0.281457267,0.506648284,0.43241239,0.159018433,0.093613647,0.038891967,0.002963197,0.000682315,43.48309047,5.85E-05,32.61809804,20.17686,0.21529969,0.028442797,0.406347949,1.025968137,0.342432826,0.081566844,0.50630611,0.304713444,0.138832685,0.008346866,0.000211313,49.70358059,0.000105657,30.64240229,13.10922878,0.391457458,0.043636148,1.44791714,3.036568783,0.092794868,0.084102601,0.12505902,0.40787754,85.05437272,0,0,0,0,14.94562728,0,17.70651219,5.763243641,10.019214,0,70.10572377,0,0,0,0,7.044904529,0,0,0,0,0,0,7.066914068,0,0
IDRM-1018,1.602,34903.3482,0.0891,5733.1035,14.38577768,1.485376647,0.000830866,5324.694468,4855.557613,0.000658963,4838.559133,4838.559133,8.60E-05,0.000174426,0.005511354,0.432432497,0.019730775,8.60E-05,0.000174426,0.000114602,0.373448704,0.381339604,0.51937876,0.527958545,0.233915668,0.091417304,0.171945395,0.114766067,0.055536792,0.00723283,0.005665073,42.24296081,0.001792092,33.68873735,20.86299245,0.948483217,0.543738666,0.333076355,0.44059412,0.415125944,0.022982317,0.395142003,0.27236557,0.107486286,0.009309094,0.009105016,47.91495915,0.001507037,30.56822365,15.94035586,1.192144883,0.389208044,1.264623951,1.418859785,0.725949266,0.571041496,0.143076113,0.33801148,82.80581374,0,0,6.023594034,0,11.17059222,0,14.35219292,2.753135013,17.84119582,0,69.92837409,0,0,0,0,2.411652588,0.040501272,0,0,0,0,0,7.025141216,0,0
IDRM-1019,4.3119,30301.7301,0.2763,4899.7368,15.46365874,1.451280952,0.000792034,5534.304686,4993.924749,0.000594025,4974.344881,4974.344881,9.90E-05,0.000204093,0.004592775,0.279089569,0.022727088,9.90E-05,0.000204093,0.000132006,0.332132273,0.335450671,0.433393397,0.429466,0.212126502,0.105299928,0.125253244,0.107782955,0.056702703,0.007826286,0.003825524,40.4257749,0.000748472,35.84163863,20.81045927,0.888552235,0.32814859,0.324557706,0.4787192,0.421498151,0.02689124,0.308661477,0.233259468,0.105764865,0.009937268,0.004536978,46.08872052,0.000918417,32.37644724,16.12396201,1.141187829,0.235133038,1.284442462,1.556495851,0.698995732,0.572136854,0.13517546,0.317177037,87.51631974,0,0,0,0,12.48368026,0,13.73598068,3.171225857,20.11790574,0,66.29026539,0,0,0,0,2.698910251,0,0,0,0,0,0,7.721692762,0,0
IDRM-1021,4.0293,14979.6486,0.27,2364.7365,28.18362611,1.524576391,0.001401902,11185.98273,10092.86984,0.001068116,10055.32111,10055.32111,0.000200272,0.00042288,0.009260722,0.561207384,0.04594788,0.000200272,0.00042288,0.000200272,0.39659254,0.403382065,0.613933012,0.61194167,0.238469546,0.206355976,0.219970447,0.204787848,0.11246659,0.015741357,0.003292467,36.87958475,0.000462628,44.54201482,13.78309635,1.793144867,0.659857268,0.281481903,0.654690258,0.439888334,0.055376149,0.527881225,0.436463005,0.209515944,0.020171381,0.00479546,41.30889425,0.000913421,40.53488412,10.05417728,2.349433013,0.485369089,1.244992835,2.209070651,0.471748049,0.348508174,0.235259391,0.542420604,77.61021443,0,0,0,0,22.38978557,0,16.70494059,6.414945542,31.39352949,0,43.29558171,0,0,0,0,4.148406392,0,0,0,0,0,0,14.74753687,0,0
IDRM-1022,1.8081,30756.9204,0.1602,4974.0894,15.31184477,1.452422182,0.000780312,5452.399158,4920.016631,0.000585234,4900.726537,4900.726537,9.75E-05,0.000201042,0.004524963,0.274983529,0.022390736,9.75E-05,0.000201042,0.000130052,0.33218239,0.335398939,0.433506552,0.429613813,0.21254241,0.103741531,0.123516592,0.10620244,0.055866451,0.00771046,0.004275135,40.64140375,0.001653286,35.79596935,20.65295978,0.875460535,0.323441355,0.336132157,0.473038907,0.419377263,0.026489271,0.304319018,0.229808897,0.104201987,0.009788726,0.004704379,46.29946338,0.001411314,32.32827299,15.97507475,1.124165561,0.231618274,1.319813432,1.53804232,0.689215621,0.5637655,0.134317937,0.315430217,87.62910704,0,0,0.026478919,0,12.34441404,0,13.69391981,3.124292964,19.82016867,0,66.67002298,0,0,0,0,2.736774323,0,0,0,0,0,0,7.648741062,0,0
IDRM-1023,2.6055,14567.4243,0.1899,2106.7065,34.05846789,1.095041003,0.001098341,177969.9679,175711.7161,0.000823756,2123.789678,2068.836345,0.000343232,0.000949349,0.006174602,1.52890385,0.015984157,0,0,0,1.258434631,1.583729855,2.292104907,2.871820457,1.782321258,0.033430069,0.539168753,0.112609475,0.03912634,0.006431473,1.395092199,45.86297799,0.098819803,36.14592389,7.656709086,0.425336001,2.01697427,1.760950973,1.459752909,0.908712248,0.00478472,0.898801043,0.193012173,0.061774148,0.007775169,1.700839676,43.23579483,0.061304221,35.36155606,3.402576486,0.52678909,2.570120707,6.613037934,4.274719806,0.236778303,0.197497848,0.111583899,0.208373259,82.45604063,5.24915719,0,8.797310174,0,3.497492003,0,17.74727834,15.14928277,46.04575292,3.615569157,6.547548697,1.17533475,3.190029276,0,0,7.614895243,0,0,0,0,0,0,15.06176284,0,1.599824342
IDRM-1024,0.1368,119022.2226,0.063,19504.2834,39.44693858,1.271035607,0.002100448,84250.60653,82003.88466,0.001789582,27133.35876,24176.06744,0.000520911,0.000410166,0.044559196,11.84855587,1.47817937,0.000310866,0.000922874,0.00014283,3.896809964,2.721172008,9.648087505,6.528525876,0.806855123,0.0131073,1.009841334,0.537489291,0.265364226,0.062995043,0.707183232,13.0951275,0.042929546,45.70199196,23.71755684,0.742052098,11.18572491,0.923220031,0.904966297,0.380002682,0.003585366,1.032248639,0.419686273,0.181215579,0.03510152,0.716104238,13.36891721,0.03719183,48.76179814,20.97460499,1.06140685,7.643871705,2.98302013,2.33626066,0.129224187,0.143193161,0.516384859,0.440867712,28.10363272,0.642457336,0,48.46053723,0,22.69563054,0.097742167,20.27632103,4.636626152,16.16323009,2.757057151,40.0756981,13.38533314,0.414681888,0,0,1.237916977,0,0.91054223,0,1.057999735,1.340775332,0.008895482,17.12165473,0,0.889589
IDRO-1025,0.1557,2247.9705,0.0783,337.9518,61.52807194,1.196685651,0.000444846,80770.43689,80770.43689,0.000444846,80770.43689,80770.43689,0,0,0.00029852,0.046938763,0,0,0,0,1.465896332,1.421889634,1.013945123,1.03452431,4.63686245,0,0.375098339,0.077710095,0.015053578,0.002282058,0.004604153,80.19185305,0.001321192,5.841388933,4.06414586,0.03759391,0,1.042780588,0.818218033,0.52835937,0,0.768038519,0.12809519,0.045006418,0.008521925,0.001331551,86.49407993,0.001065241,3.307838573,2.028218225,0.075632087,0,3.99198939,2.59732305,0.388830725,0.203727277,0.120280629,0.203984221,75.4032137,0,0,0,0,21.7699565,0,5.686637129,1.160366651,10.03216902,0,61.86211963,0,0,0,1.90127495,5.782695992,0,0,0,0,0,0,12.20508899,0,4.222288504
IDRO-1029,1.6353,221.0904,0.5724,49.4343,75.33190978,1.479527372,0.004523037,18957.69803,18957.69803,0.009046073,37915.39606,37915.39606,0,0,6.64E-05,0.020121634,0,0,0,0,0.389168145,0.398867387,0.264869549,0.266780061,0.403002573,0,0.008955613,0.000407073,0.000814147,0,0.102989546,40.62632299,0.028902205,32.68798645,10.70114306,0,0,1.810254991,13.62922135,0.13472427,0,0.014564786,0,0.003641196,0,0.165674441,37.8429552,0.007282393,28.30302037,7.925064176,0,0,4.00167495,21.60139822,0.021981959,0,0.073623278,0.147559488,50.36351646,0,0,18.13511577,0,31.50136777,0,19.30674439,4.66831667,20.40129286,14.54879995,15.72687009,17.43087895,0,0,0,0,0,0,0,0,0,0,27.22384147,0,0
