"","colnames.nrsa_strmcat1."
"225","XWIDTH"
"226","XWXD"
"227","RP100"
"228","RPGT50"
"229","XBKF_W"
"230","XBKF_H"
"231","XINC_H"
"232","SINU"
"233","XSLOPE"
"234","REACHLEN"
"235","LSUB_DMM"
"236","XEMBED"
"237","PCT_FN"
"238","PCT_SA"
"239","PCT_SAFN"
"240","PCT_SFGF"
"241","LDMB_BW5"
"242","LRBS_BW5"
"243","LRBS_G08"
"244","RB3"
"245","REYP3"
"246","RRPW3"
"247","PCT_FAST"
"248","PCT_POOL"
"249","PCT_SLOW"
"250","RPMXDEP_CM"
"251","RPRAT"
"252","RPXDEP_CM"
"253","PCT_BDRK"
"254","XFC_ALG"
"255","XFC_AQM"
"256","XFC_LWD"
"257","XFC_BRS"
"258","XFC_OHV"
"259","XFC_BIG"
"260","XFC_NAT"
"261","XFC_UCB"
"262","V1W_MSQ"
"263","XCDENBK"
"264","XCDENMID"
"265","XCL"
"266","XGB"
"267","XC"
"268","XCM"
"269","XCMGW"
"270","XPCAN"
"271","XPCM"
"272","XPCMG"
"273","QR1"
"274","QRVEG1"
"275","RDIST1"
"276","W1_HALL"
"277","W1H_WALL"
"278","W1H_LOG"
"279","W1_HNOAG"
"280","W1_HAG"
"281","REALM"
"282","W1H_CROP"
"283","XSLOPE_use"
"284","XWIDTH_use"
"285","Lpt01_XCMGW"
"286","Lpt01_XFC_NAT"
"287","LRBS_use"
"288","RDIST_COND"
"289","LRBS_Cond_use"
"290","LOE_RBS_use"
"291","LXCMGW_Cond_use"
"292","LOE_XCMGW_use"
"293","LXFC_NAT_Cond_use"
"294","LOE_XFC_NAT_use"
"295","Qbkf_cl"
"296","LQbkf_cl"
"297","Qbkf_kmcl"
"298","LQbkf_kmcl"
"299","QLow_cl"
"300","LQLow_cl"
"301","QLow_kmcl"
"302","LQLow_kmcl"
"303","LOE_QLow_cl"
"304","LOE_Qbkf_cl"
"305","RT_WQI"
"306","CL_pt"
"307","SO4_pt"
"308","PTL_pt"
"309","NTL_pt"
"310","TURB_pt"
"311","ENTERO_PT"
"312","DO_PT"
"313","PH_PT"
"314","NUMVARN"
"315","WQII"
"316","SAMPLE_ID"
"317","Chem_Lab_ID"
"318","H2O_dD"
"319","H2O_d18O"
"320","d.excess"
"321","AG_ECO5"
"322","MAST_SY"
"323","MSST_SY"
"324","MWST_SY"
"325","PSUMPY_SY_PT"
"326","PSUMPY_SY_WS"
"327","TMEANPW_SY_PT"
"328","TMEANPW_SY_WS"
"329","TMEANSS_SY_PT"
"330","TMEANSS_SY_WS"
"331","TMEANSY_SY_PT"
"332","TMEANSY_SY_WS"
"333","CatAreaSqKm"
"334","WsAreaSqKm"
"335","CatAreaSqKmRp100"
